public_name,parent_name,nested,address_911,acreage,property_classification,ppr_use,park_area,park_length
Morris Park,Morris Park,N,6600 SHERWOOD RD,119.08908588,PARK,NATURE_AREA,821739.75,6624.40620277788
Juniata Golf Club,Tacony Creek Park,Y,1391 E CAYUGA ST,91.92960299,MANAGED_SITE,GOLF,635043.50390625,4652.88776116918
Winter Street Greenway,Benjamin Franklin Parkway,Y,BENJ FRANKLIN PKY,0.78129229,PARK,RECREATION_SITE,5386.7890625,679.857405946185
Walnut Lane Golf Club,Wissahickon Valley Park,Y,5819 MAGDALENA ST,67.27524206,MANAGED_SITE,GOLF,464904.1171875,5827.26406746531
61st and Cobbs Creek Park,Cobbs Creek Park,Y,61ST & COBBS CREEK,5.16387796,PARK,NATURE_AREA,35596.9375,1037.39575876361
Walton Run,Walton Run,N,11200 ACADEMY RD,90.7082626,PARK,NATURE_AREA,627888.70703125,6253.61003671598
John F Byrne Golf Club,John F Byrne Golf Club,N,9550 LEON ST,85.74746206,MANAGED_SITE,GOLF,593109.2578125,4176.82510982045
Joseph C Fluehr Memorial Park,Joseph C Fluehr Memorial Park,N,4800 GRANT AVE,65.3787993,PARK,SPORTS_COMPLEX,452133.12109375,3072.7117002222
Philadelphia Zoo,West Fairmount Park,Y,3400 W GIRARD AVE,55.03027276,MANAGED_SITE,OTHER,379641.58203125,4266.56277262964
Manatawna Farm,Manatawna Farm,N,100 SPRING LN,64.52573195,MANAGED_SITE,GARDEN_FARM,446276.296875,3965.82801490652
Wisters Woods Park,Wisters Woods Park,N,1998 BELFIELD AVE,61.00310521,PARK,NATURE_AREA,421624.07421875,7417.84714558895
Fairmount Park Horticulture Center,West Fairmount Park,Y,4200 HORTICULTURAL DR,39.1906528,OTHER,EVENT_SPACE,270457.36328125,3013.00510183419
Wooden Bridge Run,Wooden Bridge Run,N,2855 WILLITS RD,49.97198536,PARK,NATURE_AREA,345685.55859375,4658.81377346631
Bartrams Garden,Bartrams Garden,N,5400 LINDBERGH BLVD,49.90831811,MANAGED_SITE,HISTORIC_SITE,343904.54296875,3538.67951408173
Wissinoming Park,Wissinoming Park,N,5801 FRANKFORD AVE,42.63252407,PARK,RECREATION_SITE,294567.203125,2216.66894777079
Roxborough Reservoir Park,Roxborough Reservoir Park,N,601 PORT ROYAL AVE,37.28503739,PARK,GREENWAY,257859.79296875,2021.17172455041
Carroll Park (Cobbs Creek),Cobbs Creek Park,Y,7800 CITY AVE,29.57754926,CONSERVATION,NATURE_AREA,204083.84765625,2504.98710700287
Laura Sims Skating Rink,Cobbs Creek Park,Y,200 S 63RD ST,3.02269117,PARK,SPORTS_COMPLEX,20845.45703125,671.483696609526
Holme Crispin Park,Holme Crispin Park,N,2999 HOLME AVE,31.64380001,PARK,SPORTS_COMPLEX,218851.6796875,3325.54649621317
Disston Park,Disston Park,N,6447 KEYSTONE ST,23.49995295,PARK,SPORTS_COMPLEX,162358.15234375,4343.49007877225
Poquessing Creek Park 1,Poquessing Creek Park,Y,1247 STEVENS RD,22.85302344,WATERSHED_PARK,NATURE_AREA,158385.7734375,3092.13623015087
Jim Junod Recreation Center,Jim Junod Recreation Center,N,12770 DUNKS FERRY RD,23.51589184,PARK,RECREATION_SITE,162859.17578125,1674.5513845044
Mann Older Adult Center,Ramonita Negron Rivera Recreation and Community Center,Y,3201 N 05TH ST,1.28211808,OTHER,OLDER_ADULT_SITE,8852.375,387.443907349711
Michael Palmer Playground,Michael Palmer Playground,N,2972 COMLY RD,74.15825179,PARK,RECREATION_SITE,513500.16796875,4043.88037374147
29th and Chalmers Playground,29th and Chalmers Playground,N,2900 N 29TH ST,12.42792905,PARK,RECREATION_SITE,85805.97265625,1600.99201201018
Joseph E Mander Playground,East Fairmount Park,Y,2102 N 33RD ST,22.26594622,PARK,RECREATION_SITE,153685.1015625,1574.91263941323
Marconi Plaza,Marconi Plaza,N,2700 S BROAD ST,18.84613709,PARK,SQUARE_PLAZA,129800.96875,2098.04847410173
Fort Mifflin,Fort Mifflin,N,4800 FORT MIFFLIN RD,40.37292582,MANAGED_SITE,HISTORIC_SITE,277734.30859375,3600.28570593147
J Francis Finnegan Playground,J Francis Finnegan Playground,N,6801 GROVERS AVE,17.69740338,PARK,RECREATION_SITE,121886.85546875,1833.57539529408
Lawncrest Recreation Center,Lawncrest Recreation Center,N,6030 RISING SUN AVE,14.83826654,PARK,RECREATION_SITE,102591.1875,1381.91600772223
Pastorius Park,Pastorius Park,N,200 W HARTWELL LN,16.4611563,PARK,NEIGHBORHOOD_PARK,113892.8984375,1639.2779557634601
Joseph F Vogt Playground,Joseph F Vogt Playground,N,4351 UNRUH AVE,15.83185436,PARK,RECREATION_SITE,109404.57421875,1403.38833454721
American Legion Playground,American Legion Playground,N,4801 DEVEREAUX AVE,15.72173189,PARK,RECREATION_SITE,108609.984375,1363.73371334566
George Jacobs Playground,George Jacobs Playground,N,4500 LINDEN AVE,14.68924535,PARK,RECREATION_SITE,101574.328125,1369.23199963312
Fox Chase Recreation Center,Fox Chase Recreation Center,N,7901 RIDGEWAY ST,16.36916298,PARK,RECREATION_SITE,113263.5625,1538.34936286447
Torresdale Recreation Center,Torresdale Recreation Center,N,9501 LEON ST,14.22119289,PARK,RECREATION_SITE,98360.5859375,1389.36403543536
William B Simons Recreation Center,William B Simons Recreation Center,N,7224 WOOLSTON AVE,13.12051496,PARK,RECREATION_SITE,90752.55078125,1263.76911352794
Olney Recreation Center,Olney Recreation Center,N,199 E SPENCER AVE,13.62146671,PARK,RECREATION_SITE,94166.765625,1312.85553824205
Wakefield Park,Wakefield Park,N,5300 N 16TH ST,14.64808094,PARK,NEIGHBORHOOD_PARK,101235.61328125,1975.17995676014
Charles A Russo Playground,Charles A Russo Playground,N,7301 TORRESDALE AVE,12.46289021,PARK,RECREATION_SITE,86125.8359375,1186.86403613757
Max Myers Playground,Max Myers Playground,N,1805 HELLERMAN ST,12.37033782,PARK,RECREATION_SITE,85506.9609375,1232.70662897787
Corporal Jimmy OConnor Memorial Playground,Corporal Jimmy OConnor Memorial Playground,N,4340 DEERPATH LN,13.73990355,PARK,RECREATION_SITE,95091.53125,2096.04275111416
Gustine Recreation Center,Gustine Recreation Center,N,4842 RIDGE AVE,12.12361947,MANAGED_SITE,SPORTS_COMPLEX,83738.328125,1287.66844477759
Clarence H Clark Park,Clarence H Clark Park,N,4301 CHESTER AVE,12.03396792,PARK,NEIGHBORHOOD_PARK,82961.57421875,1786.22328062492
William A Lackman Memorial Playground,William A Lackman Memorial Playground,N,1165 BARTLETT ST,11.44183675,PARK,RECREATION_SITE,79233.73046875,1145.94601697567
William (Billy) Gambrel Playground,William (Billy) Gambrel Playground,N,1900 WAKELING ST,11.54475246,PARK,RECREATION_SITE,79743.88671875,1184.68408402938
Suffolk Park,Suffolk Park,N,7401 LINDBERGH BLVD,11.30889162,PARK,RECREATION_SITE,77867.80859375,1160.15568490942
Carmella A DiTizio Playground,Carmella A DiTizio Playground,N,2150 WAKELING ST,11.18315124,PARK,RECREATION_SITE,77239.6953125,1102.92890254623
George C Pelbano Playground,George C Pelbano Playground,N,2138 SOLLY AVE,10.51602635,PARK,RECREATION_SITE,72738.46875,1111.75220270964
Joseph A Ferko Playground,Tacony Creek Park,Y,1101 E CAYUGA ST,10.53091284,PARK,RECREATION_SITE,72742.16015625,1580.76480832541
Germany Hill,Germany Hill,N,4849 SMICK ST,10.82682679,CONSERVATION,NATURE_AREA,74829.83984375,1332.5284398503
Thomas E Jardel Memorial Field,Thomas E Jardel Memorial Field,N,1400 COTTMAN AVE,10.77963065,PARK,RECREATION_SITE,74549.921875,1107.56199869163
Daniel Boyle Memorial Recreation Center,Daniel Boyle Memorial Recreation Center,N,13045 KELVIN AVE,10.68965923,PARK,RECREATION_SITE,74072.859375,1183.72158636656
Stenton Park,Stenton Park,N,1699 W COURTLAND ST,14.76482079,PARK,RECREATION_SITE,102017.2890625,1257.83466925942
Clearview Park,Clearview Park,N,7600 BUIST AVE,5.69403866,PARK,NEIGHBORHOOD_PARK,39208.90625,1562.40994644676
Charles A Papa Playground,Morris Park,Y,6839 LANSDOWNE AVE,8.53013415,PARK,RECREATION_SITE,58852.62109375,1471.30273420465
Water Tower Recreation Center,Water Tower Recreation Center,N,267 E HARTWELL LN,9.54956974,PARK,RECREATION_SITE,66081.15625,1538.06781336522
James J Ramp Playground,James J Ramp Playground,N,3340 SOLLY AVE,9.04397754,PARK,RECREATION_SITE,62530.859375,1161.40663956455
Elizabeth M Picariello Playground,Elizabeth M Picariello Playground,N,10815 CALERA RD,10.35795095,PARK,RECREATION_SITE,71691.0078125,1251.64668463895
Reyburn Park,Reyburn Park,N,1950 W LEHIGH AVE,7.25306354,PARK,SPORTS_COMPLEX,50070.7265625,1282.22427864607
Ronald Trumbette Playground,Ronald Trumbette Playground,N,9050 TORRESDALE AVE,8.46819384,PARK,RECREATION_SITE,58551.7890625,1012.06717076261
Seymour Tarken Recreation Center,Seymour Tarken Recreation Center,N,6350 FRONTENAC ST,8.89483047,PARK,RECREATION_SITE,61488.08203125,1021.75045230982
33rd and Oxford Driving Range,East Fairmount Park,Y,3300 RESERVOIR DR,8.21639785,MANAGED_SITE,GOLF,56696.9140625,966.811313458919
Edward Houseman Playground,Edward Houseman Playground,N,900 E GODFREY AVE,8.66516115,PARK,RECREATION_SITE,59879.30078125,1111.89710680443
Samuel F Houston Playground,Wissahickon Valley Park,Y,994 SEQUOIA RD,6.20141897,PARK,RECREATION_SITE,42904.65234375,921.992533330133
Vernon Park,Vernon Park,N,5754 GERMANTOWN AVE,8.47444085,PARK,SQUARE_PLAZA,58573.08203125,1067.54369726638
Haddington-Marshall L Shepard Sr Recreation Center,Haddington-Marshall L Shepard Sr Recreation Center,N,5700 HAVERFORD AVE,8.21454581,PARK,RECREATION_SITE,56662.39453125,979.852671071755
Penn Treaty Park,Penn Treaty Park,N,1299 BEACH ST,8.52023264,PARK,SQUARE_PLAZA,58758.13671875,1283.97935288355
Wingohocking Park,Wingohocking Park,N,1200 W WINGOHOCKING ST,8.34381239,PARK,NEIGHBORHOOD_PARK,57644.3828125,1312.97749942166
W Freeland Kendrick Recreation Center,W Freeland Kendrick Recreation Center,N,5878 RIDGE AVE,8.01513139,PARK,RECREATION_SITE,55387.2421875,931.283098563259
Fanny Kemble Abolitionist Memorial Park,Fanny Kemble Abolitionist Memorial Park,N,5641 OGONTZ AVE,8.000155,PARK,NEIGHBORHOOD_PARK,55301.8125,1088.01019856653
Bridesburg Recreation Center,Bridesburg Recreation Center,N,4625 RICHMOND ST,7.98273891,PARK,RECREATION_SITE,55115.5,938.238515973491
Bradford Park,Bradford Park,N,2400 FAUNCE ST,8.51281098,PARK,NEIGHBORHOOD_PARK,58863.1796875,995.670353959267
Johnny Sample Recreation Center,Cobbs Creek Park,Y,250 S 63RD ST,6.76257694,PARK,RECREATION_SITE,46635.21484375,1396.1893223204
Francis J Myers Recreation Center,Francis J Myers Recreation Center,N,5800 CHESTER AVE,7.62504584,PARK,RECREATION_SITE,52546.11328125,935.559657270548
Somerton Woods,Somerton Woods,N,900 WELTON ST,7.59133886,CONSERVATION,NATURE_AREA,52592.6171875,958.413270647642
Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,N,2200 S 24TH ST,7.5907246,PARK,RECREATION_SITE,52295.578125,997.532840719317
Rittenhouse Square,Rittenhouse Square,N,1800 WALNUT ST,7.31387262,PARK,SQUARE_PLAZA,50423.78515625,870.116925672067
Russell DeRitis Playground,Russell DeRitis Playground,N,5655 GRAYS AVE,1.11819679,PARK,RECREATION_SITE,7705.13671875,429.669953804908
Samuel Rose Recreation Center,Cobbs Creek Park,Y,1225 N 75TH ST,7.36635958,MANAGED_SITE,RECREATION_SITE,50821.171875,932.258064330144
Loudoun Park,Loudoun Park,N,4650 GERMANTOWN AVE,7.66799045,PARK,NEIGHBORHOOD_PARK,52983.484375,1197.59608983095
Elmwood Park,Elmwood Park,N,7101 DICKS AVE,7.23458398,PARK,SQUARE_PLAZA,49824.97265625,851.182883617039
Harry S McDevitt Playground,Harry S McDevitt Playground,N,3580 SCOTTS LN,6.25335398,PARK,RECREATION_SITE,43187.49609375,914.137317265396
Washington Square,Washington Square,N,600 WALNUT ST,7.1882027,MANAGED_SITE,SQUARE_PLAZA,49553.86328125,981.060837413008
Charles J Ziehler Playground,Charles J Ziehler Playground,N,5530 B ST,7.10839101,PARK,RECREATION_SITE,49129.04296875,884.925177975829
Franklin Square,Franklin Square,N,200 N 06TH ST,7.16492352,MANAGED_SITE,SQUARE_PLAZA,49405.85546875,1024.69413223477
Thomas Mitchell Playground,Thomas Mitchell Playground,N,3694 CHESTERFIELD RD,6.84147744,PARK,RECREATION_SITE,47331.0625,980.576783103419
Charles M Finley Playground,Charles M Finley Playground,N,1006 E HORTTER ST,6.64473217,PARK,RECREATION_SITE,45965.87890625,875.483904592915
Von Colln Field,Benjamin Franklin Parkway,Y,2250 PENNSYLVANIA AVE,6.56999502,PARK,RECREATION_SITE,45312.8203125,897.61021571319
Norris Square,Norris Square,N,2100 N HOWARD ST,6.40064101,PARK,SQUARE_PLAZA,44170.73046875,823.895799893461
Tomlinson and Gifford Playground,Tomlinson and Gifford Playground,N,487 TOMLINSON RD,6.4000252,PARK,RECREATION_SITE,44338.56640625,851.561635375138
McPherson Square,McPherson Square,N,601 E INDIANA AVE,6.39110448,PARK,SQUARE_PLAZA,44120.58203125,833.075626096343
Morris Estate Cultural Center,Morris Estate Cultural Center,N,1610 CHELTEN AVE,6.38125279,PARK,RECREATION_SITE,44124.65234375,922.500304758279
Sergeant John J McVeigh Recreation Center,Sergeant John J McVeigh Recreation Center,N,3390 D ST,6.32015353,PARK,RECREATION_SITE,43637.4140625,828.893333755975
Malcolm X Memorial Park,Malcolm X Memorial Park,N,5100 PINE ST,6.29779613,PARK,SQUARE_PLAZA,43422.73828125,826.456230702797
Joseph A Scanlon Playground,Joseph A Scanlon Playground,N,1099 E TIOGA ST,6.20991504,PARK,RECREATION_SITE,42877.93359375,908.627276353728
Woodward Pines,Woodward Pines,N,7922 LINCOLN DR,1.36261608,PARK,NEIGHBORHOOD_PARK,9426.734375,751.275512275625
Fairmount Water Works Historic Area,East Fairmount Park,Y,650 WATER WORKS DR,5.38908855,MANAGED_SITE,HISTORIC_SITE,37173.61328125,1347.41264769816
Frank McArdle Memorial Recreation Center,Frank McArdle Memorial Recreation Center,N,2945 WELSH RD,6.13680759,PARK,RECREATION_SITE,42447.34765625,1088.11904504497
Boniface Piccoli Playground,Boniface Piccoli Playground,N,1500 E CAYUGA ST,6.01259396,PARK,RECREATION_SITE,41529.0625,807.022372639414
Mayfair Recreation Center,Mayfair Recreation Center,N,3000 SAINT VINCENT ST,6.52184663,PARK,RECREATION_SITE,45081.51953125,989.569696830951
Cliveden Park,Cliveden Park,N,501 E JOHNSON ST,5.95249698,PARK,NEIGHBORHOOD_PARK,41161.38671875,849.528773926722
Helen G Sturgis Playground,Helen G Sturgis Playground,N,6420 N 2ND ST,5.84218364,PARK,RECREATION_SITE,40395.30078125,800.524090398382
Jack Horgan Memorial Field at Old Line Park,Jack Horgan Memorial Field at Old Line Park,N,8730 OLD LINE RD,6.1468996,PARK,SPORTS_COMPLEX,42525.6328125,884.778727716691
John L Barrett Playground,John L Barrett Playground,N,700 W DUNCANNON AVE,5.77555582,PARK,RECREATION_SITE,39912.86328125,900.034590352794
John J McCreesh Sr Playground,John J McCreesh Sr Playground,N,6744 REGENT ST,5.29777207,PARK,RECREATION_SITE,36499.91015625,1000.84577384487
Parkside Evans Recreation Center,West Fairmount Park,Y,5271 PARKSIDE AVE,6.30525787,PARK,RECREATION_SITE,43518.80859375,1310.6344311734
Carroll Park,Carroll Park,N,5801 W GIRARD AVE,5.63618341,PARK,SQUARE_PLAZA,38881.8984375,784.140802566563
Ramonita Negron Rivera Recreation and Community Center,Ramonita Negron Rivera Recreation and Community Center,N,3201 N 05TH ST,4.25280303,PARK,RECREATION_SITE,29364.04296875,704.606585969492
Franklin Delano Roosevelt Playground,Franklin Delano Roosevelt Playground,N,4300 HELLERMAN ST,5.45399635,PARK,RECREATION_SITE,37685.375,776.13942870278
A Albert Cherashore Playground,A Albert Cherashore Playground,N,900 W CHEW AVE,5.24054709,PARK,RECREATION_SITE,36223.7109375,770.965730447726
Barnes Foundation Museum,Benjamin Franklin Parkway,Y,2051 BENJAMIN FRANKLIN PKY,5.3924238,MANAGED_SITE,MUSEUM_CAMPUS,37188.296875,820.028324989386
William T Granahan Playground,Cobbs Creek Park,Y,6532 CALLOWHILL ST,5.30859667,PARK,RECREATION_SITE,36619.69140625,1032.55369891075
George Connell Park,George Connell Park,N,6401 ELMWOOD AVE,5.32084152,PARK,SQUARE_PLAZA,36655.1015625,762.551852063289
West Mill Creek Playground,West Mill Creek Playground,N,5100 WESTMINSTER AVE,5.26909751,PARK,RECREATION_SITE,36346.28125,1714.43474065669
Lonnie Young Recreation Center of East Germantown,Lonnie Young Recreation Center of East Germantown,N,1100 E CHELTEN AVE,5.2289743,PARK,RECREATION_SITE,36156.4375,787.063397055642
Carousel House Recreation Center,West Fairmount Park,Y,4300 AVENUE OF THE REPUBLIC,5.24413526,PARK,RECREATION_SITE,36185.87890625,801.625192451693
Eileen Fitzpatrick Playground,Eileen Fitzpatrick Playground,N,12485 ACADEMY RD,4.94086562,PARK,RECREATION_SITE,34210.48046875,762.54845405143
11th and Cecil B Moore Playground,11th and Cecil B Moore Playground,N,1737 N 11TH ST,5.18166632,PARK,SPORTS_COMPLEX,35754.37109375,755.891228622792
Waterview Recreation Center,Waterview Recreation Center,N,5826 MCMAHON AVE,5.16461987,PARK,RECREATION_SITE,35706.11328125,769.244419786321
Cohocksink Recreation Center,Cohocksink Recreation Center,N,2901 CEDAR ST,5.11659919,PARK,RECREATION_SITE,35311.12890625,861.347850729889
McMichael Park,McMichael Park,N,3201 MIDVALE AVE,5.84360812,PARK,NEIGHBORHOOD_PARK,40368.5390625,861.049015270909
Stephen E Fotterall Square,Stephen E Fotterall Square,N,2400 N 11TH ST,5.06784791,PARK,SQUARE_PLAZA,34980.15625,739.463963674554
Lawrence E Murphy Recreation Center,Lawrence E Murphy Recreation Center,N,300 SHUNK ST,4.95000547,PARK,RECREATION_SITE,34092.5234375,725.667073096724
Harrowgate Park,Harrowgate Park,N,3455 KENSINGTON AVE,4.9122538,PARK,SQUARE_PLAZA,33915.90234375,753.320045700607
48th and Woodland Playground,48th and Woodland Playground,N,4740 WOODLAND AVE,4.8465753,PARK,RECREATION_SITE,33406.1484375,748.801687579109
East Poplar Playground,East Poplar Playground,N,800 N 08TH ST,7.92240269,PARK,RECREATION_SITE,54648.1328125,1496.39615873373
Narcissa S Cruz Recreation Center,Narcissa S Cruz Recreation Center,N,1401 N 06TH ST,4.80987949,PARK,RECREATION_SITE,33183.89453125,723.559436274909
Holmesburg Recreation Center,Holmesburg Recreation Center,N,4510 RHAWN ST,4.68312338,PARK,RECREATION_SITE,32368.75,812.586983448189
Lardners Point Park,Lardners Point Park,N,5202 LEVICK ST,4.96529795,PARK,GREENWAY,34289.96875,921.24442053731
Frederick Cione Playground,Frederick Cione Playground,N,2600 ARAMINGO AVE,4.75222038,PARK,RECREATION_SITE,32793.015625,944.978676840099
Pleasant Playground,Pleasant Playground,N,305 SLOCUM ST,4.75614281,PARK,RECREATION_SITE,32894.046875,796.31059710031
Athletic Recreation Center,Athletic Recreation Center,N,2626 W JEFFERSON ST,4.69342432,PARK,RECREATION_SITE,32384.58203125,714.978562507789
Happy Hollow Recreation Center,Happy Hollow Recreation Center,N,4800 WAYNE AVE,4.58829954,PARK,RECREATION_SITE,31702.0078125,858.304554323755
Private Alfred J Simpson Memorial Recreation Center,Private Alfred J Simpson Memorial Recreation Center,N,1010 ARROTT ST,4.55414218,PARK,RECREATION_SITE,31463.39453125,922.875879653991
Reverend M Monkiewicz Recreation Center,Reverend M Monkiewicz Recreation Center,N,3201 RICHMOND ST,9.55695271,OTHER,OTHER,65952.01171875,1602.2729079963
Ernest L Tustin Recreation Center,Ernest L Tustin Recreation Center,N,1951 N 60TH ST,4.32379072,PARK,RECREATION_SITE,29837.7109375,739.621626960704
Wharton Square,Wharton Square,N,1300 S 23RD ST,4.29406803,PARK,SQUARE_PLAZA,29592.375,681.78223897797
Mifflin Square,Mifflin Square,N,500 WOLF ST,4.17187934,PARK,SQUARE_PLAZA,28736.80859375,671.921971104304
Belfield Recreation Center,Belfield Recreation Center,N,2109 W CHEW AVE,4.01471298,PARK,RECREATION_SITE,27754.359375,1022.03696861503
Overington Park,Overington Park,N,4600 LEIPER ST,4.12413095,PARK,NEIGHBORHOOD_PARK,28489.19921875,672.543712402852
Columbus Square,Columbus Square,N,1200 WHARTON ST,4.11151702,PARK,RECREATION_SITE,28332.35546875,666.851224145958
Dr Nicola Capitolo Playground,Dr Nicola Capitolo Playground,N,900 FEDERAL ST,4.09197487,PARK,RECREATION_SITE,28198.22265625,652.990126662933
George A Vare Recreation Center,George A Vare Recreation Center,N,2600 MORRIS ST,4.10767749,PARK,RECREATION_SITE,28304.35546875,667.187509624268
Mount Airy Playground,Mount Airy Playground,N,7001 GERMANTOWN AVE,4.06202346,PARK,RECREATION_SITE,28093.95703125,692.811654391923
Lonnie Cohen Recreation Center,Lonnie Cohen Recreation Center,N,201 FOUNTAIN ST,4.07980012,PARK,RECREATION_SITE,28196.56640625,833.168724673793
Rodin Museum,Benjamin Franklin Parkway,Y,2151 BENJAMIN FRANKLIN PKY,4.16431027,MANAGED_SITE,MUSEUM_CAMPUS,28719.9140625,756.229530412055
Stephen Girard Park,Stephen Girard Park,N,2101 SHUNK ST,4.02028992,PARK,SQUARE_PLAZA,27693.32421875,658.753144571664
Commodore John Barry Playground,Commodore John Barry Playground,N,2838 S 18TH ST,4.01253216,PARK,RECREATION_SITE,27636.1796875,657.27249797434
Senator William Vincent Mullin Playground,Senator William Vincent Mullin Playground,N,4301 PRINCETON AVE,3.89356158,PARK,RECREATION_SITE,26908.6328125,826.838501240721
Joseph C McIlvain Playground,Joseph C McIlvain Playground,N,5200 N PENN ST,3.85387392,PARK,RECREATION_SITE,26628.25,716.699281091093
Marie Dendy Recreation Center,Marie Dendy Recreation Center,N,1591 N 10TH ST,3.74314936,PARK,RECREATION_SITE,25826.05078125,656.766291224496
Dan Shissler Recreation Center,Dan Shissler Recreation Center,N,1826 BLAIR ST,3.89753023,PARK,RECREATION_SITE,26893,988.883660087131
Solomon Sacks Playground,Solomon Sacks Playground,N,400 WASHINGTON AVE,3.73850107,PARK,RECREATION_SITE,25762.4609375,641.335411165018
Victor J Moss Memorial Field,Victor J Moss Memorial Field,N,5726 TORRESDALE AVE,3.69440024,PARK,RECREATION_SITE,25520.2265625,640.892025113371
Daniel E Rumph II Recreation Center,Daniel E Rumph II Recreation Center,N,108 E JOHNSON ST,3.67814457,PARK,RECREATION_SITE,25431.51171875,637.162135877945
Dorothy Emanuel Recreation Center,Dorothy Emanuel Recreation Center,N,8545 PROVIDENT ST,3.67858288,PARK,RECREATION_SITE,25459.60546875,635.803095928068
Francisville Recreation Center,Francisville Recreation Center,N,1822 WYLIE ST,3.6815697,PARK,RECREATION_SITE,25395.84375,635.975307916894
Sister Clara Muhammad Square,Sister Clara Muhammad Square,N,1035 N 48TH ST,3.59833677,PARK,SQUARE_PLAZA,24823.73828125,681.90406590331
Harpers Hollow Park,Harpers Hollow Park,N,5850 OGONTZ AVE,3.60078362,PARK,NATURE_AREA,24892.37890625,948.249227198807
Joseph Deni Recreation Center,Joseph Deni Recreation Center,N,1381 RUAN ST,3.52110521,PARK,RECREATION_SITE,24320.20703125,689.437420042992
James Allen Shuler Playground,James Allen Shuler Playground,N,3025 N 27TH ST,2.99198737,PARK,RECREATION_SITE,20659.515625,591.785175649192
Marian Anderson Recreation Center,Marian Anderson Recreation Center,N,776 S 17TH ST,3.36089002,PARK,RECREATION_SITE,23165.828125,605.045803977317
John Dickinson Square,John Dickinson Square,N,1600 E MOYAMENSING AVE,3.33034365,PARK,SQUARE_PLAZA,22945.6015625,606.105206962028
Disston Recreation Center,Disston Recreation Center,N,4500 DISSTON ST,3.33070015,PARK,RECREATION_SITE,23015.94921875,606.019354346043
Feltonville Recreation Center,Feltonville Recreation Center,N,283 E WYOMING AVE,3.27937959,PARK,RECREATION_SITE,22657.03515625,639.562083974549
Walter Palumbo Recreation Center,Walter Palumbo Recreation Center,N,700 S 09TH ST,3.221015,PARK,RECREATION_SITE,22201.23046875,593.555166243364
Albert W Christy Sr Recreation Center,Albert W Christy Sr Recreation Center,N,728 S 55TH ST,3.15489273,PARK,RECREATION_SITE,21750.18359375,627.500685247122
Jefferson Square,Jefferson Square,N,300 WASHINGTON AVE,3.12816978,PARK,SQUARE_PLAZA,21556.4375,596.829673605422
Lindbergh Park,Lindbergh Park,N,2800 S 63RD ST,3.12067264,PARK,SPORTS_COMPLEX,21496.23046875,611.590434302956
William A Cibotti Recreation Center,William A Cibotti Recreation Center,N,2500 S 77TH ST,3.05209335,PARK,RECREATION_SITE,21016.64453125,632.733291523863
Jacob Stinger Park,Jacob Stinger Park,N,1400 S 32ND ST,3.09859027,PARK,RECREATION_SITE,21354.171875,589.560987268641
Northwood Park,Northwood Park,N,999 ARROTT ST,6.749193,PARK,NEIGHBORHOOD_PARK,46631.1640625,1284.72235772293
Lower Mayfair Playground,Lower Mayfair Playground,N,3023 ROBBINS ST,2.98769604,PARK,RECREATION_SITE,20646.28125,610.318428921896
Robert T Heitzman Recreation Center,Robert T Heitzman Recreation Center,N,3645 AMBER ST,2.90762604,PARK,RECREATION_SITE,20074.35546875,577.617350277203
Fairhill Square,Fairhill Square,N,2649 N LAWRENCE ST,2.86246211,PARK,SQUARE_PLAZA,19758.6640625,605.272971416535
Wister Playground,Wister Playground,N,4971 BAYNTON ST,2.85421964,PARK,RECREATION_SITE,19725.78125,611.738781230399
Charles H Chew Playground,Charles H Chew Playground,N,1800 WASHINGTON AVE,2.79854277,PARK,RECREATION_SITE,19287.53515625,588.598091387642
Donald P Finnegan Recreation Center,Donald P Finnegan Recreation Center,N,1231 S 30TH ST,2.80201273,PARK,RECREATION_SITE,19311.31640625,574.209961657193
Joseph V Kelly Memorial Playground,Joseph V Kelly Memorial Playground,N,440 PARKER AVE,2.77317159,PARK,NEIGHBORHOOD_PARK,19170.82421875,569.081401919108
Campbell Square,Campbell Square,N,2525 E ALLEGHENY AVE,2.61362707,PARK,SQUARE_PLAZA,18038.484375,535.657927593317
Tiffany Fletcher Recreation Center,Tiffany Fletcher Recreation Center,N,4728 BROWN ST,2.62730266,PARK,RECREATION_SITE,18121.98046875,534.340869935611
Morton Playground,Morton Playground,N,88 E HAINES ST,2.60299987,PARK,RECREATION_SITE,17993.4921875,576.516311507124
Woodside Park,Woodside Park,N,3918 CONSHOHOCKEN AVE,2.61972754,PARK,RECREATION_SITE,18088.91796875,615.286812867443
Miles Mack Playground,Miles Mack Playground,N,736 N 36TH ST,2.53457803,PARK,RECREATION_SITE,17483.359375,535.24144208719
Cloverly Park,Cloverly Park,N,5425 WISSAHICKON AVE,2.5442823,PARK,NEIGHBORHOOD_PARK,17580.23828125,531.439327667543
Roberto Clemente Playground,Roberto Clemente Playground,N,1800 WALLACE ST,2.54274811,PARK,RECREATION_SITE,17538.69921875,540.780786571176
Juniata Park Older Adult Center,Juniata Park Older Adult Center,N,1231 E SEDGLEY AVE,2.51536334,OTHER,OLDER_ADULT_SITE,17369.21875,564.331874092142
Matthias Baldwin Park,Matthias Baldwin Park,N,429 N 19TH ST,2.15206035,PARK,NEIGHBORHOOD_PARK,14842.15625,511.870527756588
