public_name,parent_name,nested,address_911,acreage,property_classification,ppr_use,park_area,park_length
Fairmount Drainage Right of Way (Crestmont Ave),Fairmount Drainage Rights of Way (Poquessing),Y,3777 MORRELL AVE,8.09036412,CONSERVATION,NATURE_AREA,55966.68359375,2293.46384390482
Fairmount Drainage Right of Way (Thornton Rd),Fairmount Drainage Rights of Way (Poquessing),Y,3099 WOODHAVEN RD,3.29824624,CONSERVATION,NATURE_AREA,22839.8984375,640.714906730832
Glen Foerd on the Delaware,Glen Foerd on the Delaware,N,5001 GRANT AVE,22.93712262,MANAGED_SITE,HISTORIC_SITE,158610.96484375,1665.91660243865
Allens Lane Art Center,Allens Lane Art Center,N,651 W ALLENS LN,6.57464071,MANAGED_SITE,RECREATION_SITE,45463.75,878.30610464049
Eric W (Hank) Gathers Jr Recreation Center,Eric W (Hank) Gathers Jr Recreation Center,N,2501 W DIAMOND ST,3.69149134,PARK,RECREATION_SITE,25478.6953125,757.605372644974
River Field,Benjamin Franklin Parkway,Y,302 N 24TH ST,6.55978075,MANAGED_SITE,SPORTS_COMPLEX,45230.65625,1043.03576436168
Levy Park,Benjamin Franklin Parkway,Y,1635 ARCH ST,0.60928376,MANAGED_SITE,MUSEUM_CAMPUS,4200.296875,362.245331012194
Kingsessing Recreation Center,Kingsessing Recreation Center,N,4901 KINGSESSING AVE,9.15488446,PARK,RECREATION_SITE,63103.74609375,1042.24271531907
William Lanier Park,William Lanier Park,N,1600 S 29TH ST,4.11996987,PARK,RECREATION_SITE,28390.578125,666.204445374106
Irish and Scottish Immigration Memorials,I-95 Park,Y,111 S FRONT ST,1.85245291,MANAGED_SITE,SQUARE_PLAZA,12770.625,455.335630703215
Korean War Veterans Memorial,I-95 Park,Y,109 SPRUCE ST,1.30860311,MANAGED_SITE,SQUARE_PLAZA,9020.6484375,386.448702548107
Philadelphia Vietnam Veterans Memorial,I-95 Park,Y,10 SPRUCE ST,1.96488141,MANAGED_SITE,SQUARE_PLAZA,13544.171875,468.718820695206
Northern Liberties Recreation Center,Northern Liberties Recreation Center,N,315 FAIRMOUNT AVE,0.65472838,PARK,RECREATION_SITE,4515.63671875,339.355374012823
Aviator Park,Benjamin Franklin Parkway,Y,200 N 19TH ST,1.89704317,PARK,SQUARE_PLAZA,13077.94140625,500.296847339993
Sister Cities Park,Benjamin Franklin Parkway,Y,200 N 18TH ST,1.73993371,MANAGED_SITE,RECREATION_SITE,11993.96484375,486.135996948529
Cret Park,Benjamin Franklin Parkway,Y,110 N 16TH ST,1.12740364,MANAGED_SITE,SQUARE_PLAZA,7773.375,414.218816213656
Torun Triangle,Benjamin Franklin Parkway,Y,1716 RACE ST,0.62816961,PARK,SQUARE_PLAZA,4331.37109375,431.298863698348
Carpenters Woods,Wissahickon Valley Park,Y,801 W SEDGWICK ST,42.23405266,PARK,NATURE_AREA,291988.44921875,3032.9537260787
Officer Robert Hayes Memorial Playground Woods,Officer Robert Hayes Memorial Playground,Y,9800 E ROOSEVELT BLVD,19.06267393,CONSERVATION,NATURE_AREA,131964.1015625,1473.62221712769
Hope Park,Hope Park,N,201 E INDIANA AVE,1.23247944,PARK,SQUARE_PLAZA,8508.55859375,390.254486463315
Spring Gardens,Spring Gardens,N,1828 NORTH ST,1.96307283,MANAGED_SITE,GARDEN_FARM,13540.65234375,489.451075034118
Logan Square,Benjamin Franklin Parkway,Y,200 N 18TH ST,3.32928278,PARK,SQUARE_PLAZA,22965.59765625,1485.55307184334
Titan Park,Titan Park,N,110 TITAN ST,0.03128543,PARK,SQUARE_PLAZA,215.56640625,57.9861073982182
Dodge Tract,Wissahickon Valley Park,Y,7900 CHEROKEE ST,6.62630209,CONSERVATION,OTHER,45830.41015625,1066.46755247481
Emily Community Garden,Emily Community Garden,N,742 EMILY ST,0.10990014,URBAN_AGRICULTURE,GARDEN_FARM,757.11328125,113.602003749304
Reliance Triangle,Reliance Triangle,N,2501 PENNSYLVANIA AVE,0.34552557,TRAFFIC_ISLAND_MEDIAN,SQUARE_PLAZA,2382.99609375,208.367146928369
Philadelphia Stars Negro League Memorial Park,Philadelphia Stars Negro League Memorial Park,N,1538 BELMONT AVE,0.24872725,PARK,SQUARE_PLAZA,1716.203125,219.470656398714
Glendinning Rock Garden,East Fairmount Park,Y,1299 BREWERY HILL DR,2.78599924,PARK,NATURE_AREA,19214.48046875,665.139962871758
Galusha Pennypacker Park,Benjamin Franklin Parkway,Y,1856 VINE ST,1.13391423,PARK,SQUARE_PLAZA,7825.98046875,826.453366281952
Shakespeare Park,Benjamin Franklin Parkway,Y,1948 VINE ST,1.17760482,PARK,SQUARE_PLAZA,8119.796875,607.449111129899
Cobbs Creek Park,Cobbs Creek Park,Y,,348.00546677,WATERSHED_PARK,NATURE_AREA,2399213.07421875,36071.2696007887
John A Lee Cultural Center,John A Lee Cultural Center,N,4372 HAVERFORD AVE,9.59475417,PARK,RECREATION_SITE,66172.41015625,1081.90500302403
Burholme Park,Burholme Park,N,7370 CENTRAL AVE,55.58898764,PARK,NEIGHBORHOOD_PARK,384589.234375,3521.433901109
Historic Rittenhouse Town,Wissahickon Valley Park,Y,6014 WISSAHICKON AVE,10.57129188,MANAGED_SITE,HISTORIC_SITE,73053.0546875,1688.53782321591
Belmont Grove,West Fairmount Park,Y,2076 BELMONT MANSION DR,11.76143952,OTHER,EVENT_SPACE,81187.16015625,1318.67676026413
Clifford Park,Wissahickon Valley Park,Y,6141 WISSAHICKON AVE,23.06689393,PARK,NATURE_AREA,159427.5,1692.81369143145
